Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
part1.csv:/search/homeless,44,4,00:00:09,1,0.00%,4.55%,$0.00
part1.csv:/search/Long covid,44,7,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/sinopharm,44,2,00:00:04,0,0.00%,2.27%,$0.00
part1.csv:/search/cloroquine,43,1,00:00:24,0,0.00%,2.33%,$0.00
part1.csv:/search/long haul,42,12,00:00:09,1,0.00%,4.76%,$0.00
part1.csv:/search/RaTG13,42,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/wastewater,42,8,00:01:02,3,0.00%,2.38%,$0.00
part1.csv:/search/vaccination,41,11,00:01:04,1,0.00%,7.32%,$0.00
part1.csv:/search/Diarrhea,39,3,00:00:01,1,0.00%,5.13%,$0.00
part1.csv:/search/Post covid,39,5,00:00:03,0,0.00%,2.56%,$0.00
part1.csv:/search/Vaccine,39,4,00:00:02,0,0.00%,2.56%,$0.00
part1.csv:/search/Reinfect,37,3,00:00:06,1,0.00%,2.70%,$0.00
part1.csv:/search/parasitic,36,12,00:00:12,0,0.00%,8.33%,$0.00
part1.csv:/search/supporting cell,36,9,00:00:36,1,0.00%,8.33%,$0.00
part1.csv:/search/booster,35,7,00:00:40,0,0.00%,2.86%,$0.00
part1.csv:/search/intrahost,35,2,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/misinformation,35,7,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/neutralization,35,6,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Heterologous,34,2,00:00:01,0,0.00%,5.88%,$0.00
part1.csv:/search/mask,34,7,00:00:17,1,0.00%,0.00%,$0.00
part1.csv:/search/qualitative,34,6,00:00:19,0,0.00%,2.94%,$0.00
part1.csv:/search/covid-19,33,9,00:00:07,1,0.00%,3.03%,$0.00
part1.csv:/search/Drugs,33,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Elecsys Sars-CoV-2 Antigen,33,6,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Insomnia,33,1,00:00:01,0,0.00%,3.03%,$0.00
part1.csv:/search/School,33,3,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Research biomedical,32,2,00:00:02,0,0.00%,3.12%,$0.00
part1.csv:/search/aerosol,31,7,00:00:14,1,0.00%,3.23%,$0.00
part1.csv:/search/long Covid,31,8,00:00:13,2,0.00%,6.45%,$0.00
part1.csv:/search/transcriptomics,31,9,00:00:13,1,0.00%,9.68%,$0.00
part1.csv:/search/Ventilation,31,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Long Covid,30,7,00:00:02,2,0.00%,10.00%,$0.00
part1.csv:/search/Recurrence,30,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Steroid resistance,30,2,00:00:14,1,0.00%,6.67%,$0.00
part1.csv:/search/air pollution,29,4,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Astrazeneca,29,3,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Natural immunity,29,2,00:00:41,1,0.00%,6.90%,$0.00
part1.csv:/search/sinovac,29,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/stem cells,29,6,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Artificial intelligence,28,2,00:00:12,0,0.00%,3.57%,$0.00
part1.csv:/search/BAU/ml,28,6,00:00:03,0,0.00%,3.57%,$0.00
part1.csv:/search/nsp1,28,6,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/cattle,27,10,00:01:05,9,0.00%,37.04%,$0.00
part1.csv:/search/climate change,27,6,00:00:06,0,0.00%,3.70%,$0.00
part1.csv:/search/ferritin,27,7,00:01:42,2,0.00%,3.70%,$0.00
part1.csv:/search/Icode,27,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/IgA deficiency,27,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/mental health,26,4,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/takara,26,6,00:00:10,2,0.00%,11.54%,$0.00
part1.csv:/search/vaccine,26,9,00:00:14,3,0.00%,11.54%,$0.00
part1.csv:/search/waning antibodies,26,10,00:00:08,9,0.00%,30.77%,$0.00
part1.csv:/search/covid arm,25,4,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/in silico docking,25,4,00:01:20,0,0.00%,4.00%,$0.00
part1.csv:/search/thromboembolism,25,4,00:00:10,2,0.00%,4.00%,$0.00
part1.csv:/search/budesonide,24,5,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/incubation,24,3,00:00:16,0,0.00%,4.17%,$0.00
part1.csv:/search/olfactory,24,3,00:00:33,0,0.00%,4.17%,$0.00
part1.csv:/search/Post acute sequelae,24,3,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Rapid Antigen testing,24,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/review,24,5,00:01:51,1,0.00%,8.33%,$0.00
part1.csv:/search/Seroprevalence,24,4,00:00:03,0,0.00%,4.17%,$0.00
part1.csv:/search/Sputnik v,24,5,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/UVA light,24,1,00:00:01,0,0.00%,4.17%,$0.00
part1.csv:/search/weather,24,4,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Combination,23,1,00:00:27,0,0.00%,0.00%,$0.00
part1.csv:/search/lockdowns,23,4,00:00:04,0,0.00%,4.35%,$0.00
part1.csv:/search/61,22,7,00:00:06,6,0.00%,31.82%,$0.00
part1.csv:/search/Clinical Characteristics,22,2,00:00:04,1,0.00%,4.55%,$0.00
part1.csv:/search/Clinical outcomes of hospitalised patients,22,4,00:00:04,0,0.00%,4.55%,$0.00
part1.csv:/search/Long COVID,22,5,00:00:17,1,0.00%,9.09%,$0.00
part1.csv:/search/sars-cov-2 variants,22,11,00:00:02,10,0.00%,50.00%,$0.00
part1.csv:/search/Air control,21,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/B.1.617,21,3,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/chadox1,21,5,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/children delta,21,4,00:00:02,3,0.00%,19.05%,$0.00
part1.csv:/search/Middleton,21,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Non pharmacological,21,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/reinforcement learning,21,5,00:01:30,0,0.00%,4.76%,$0.00
part1.csv:/search/tocilizumab,21,3,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/Vaccine lymph,21,3,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Wastewater model,21,2,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/352,20,6,00:00:02,5,0.00%,10.00%,$0.00
part1.csv:/search/Aerosol sampling,20,2,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/Digoxin,20,3,00:00:47,1,0.00%,0.00%,$0.00
part1.csv:/search/fertility,20,4,00:00:05,1,0.00%,0.00%,$0.00
part1.csv:/search/Indoor air control,20,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/infodemic,20,6,00:00:53,4,0.00%,15.00%,$0.00
part1.csv:/search/mathematical modeling,20,1,00:00:08,0,0.00%,5.00%,$0.00
part1.csv:/search/nitazoxanide,20,5,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/peru sinopharm,20,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/rehabilitation,20,6,00:01:45,2,0.00%,15.00%,$0.00
part1.csv:/search/Vitamin d,20,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/IgA,19,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Lung ultrasound,19,4,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Non,19,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/surfaces,19,4,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/Viral Lias vaccinated,19,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:"/search/""long covid""",18,3,00:00:10,0,0.00%,5.56%,$0.00
part1.csv:/search/1 year,18,3,00:00:06,2,0.00%,16.67%,$0.00
part1.csv:/search/adverse drugs reactions,18,1,00:00:23,0,0.00%,0.00%,$0.00
part1.csv:/search/antibody dependent enhancement,18,4,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Breakthrough,18,2,00:00:03,1,0.00%,5.56%,$0.00
part1.csv:/search/Breast cancer,18,2,00:00:09,0,0.00%,5.56%,$0.00
part1.csv:/search/Children vaccine,18,1,00:00:01,0,0.00%,5.56%,$0.00
part1.csv:/search/covid vaccine,18,4,00:00:12,0,0.00%,11.11%,$0.00
part1.csv:/search/host factors,18,1,00:01:05,0,0.00%,5.56%,$0.00
part1.csv:/search/International,18,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Mathematical models,18,1,00:00:34,0,0.00%,0.00%,$0.00
part1.csv:/search/morality,18,4,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Non-structural proteins,18,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/pfizer,18,4,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Venetoclax,18,3,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Agent-based,17,4,00:01:08,2,0.00%,17.65%,$0.00
part1.csv:/search/COVID-19 AND eye,17,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/CRP,17,4,00:00:15,1,0.00%,11.76%,$0.00
part1.csv:/search/delta variant,17,4,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Krauel,17,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Longhauler,17,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/metronidazole,17,4,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/Rheumatic,17,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/saharan,17,5,00:02:34,3,0.00%,17.65%,$0.00
part1.csv:/search/visitor,17,4,00:00:07,1,0.00%,5.88%,$0.00
part1.csv:/search/waiting lists,17,4,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/b.1.526,16,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/doi.org/10.1038/s41429-021-00430-5,16,2,00:00:18,1,0.00%,6.25%,$0.00
part1.csv:/search/eye and vaccine,16,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Glucocorticoid,16,2,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/Hepa filter,16,1,00:00:04,0,0.00%,6.25%,$0.00
part1.csv:/search/inflammation,16,1,00:00:19,0,0.00%,0.00%,$0.00
part1.csv:/search/procalcitonin,16,3,00:01:04,1,0.00%,12.50%,$0.00
part1.csv:/search/Survey,16,3,00:00:06,1,0.00%,6.25%,$0.00
part1.csv:/search/vitamin d,16,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Vitamin E,16,2,00:00:05,0,0.00%,6.25%,$0.00
part1.csv:/search/cancer services,15,3,00:00:16,0,0.00%,0.00%,$0.00
part1.csv:/search/Clinical outcomes in hospitalised patients,15,1,00:00:24,0,0.00%,0.00%,$0.00
part1.csv:/search/Digitoxin,15,6,00:00:10,3,0.00%,13.33%,$0.00
part1.csv:/search/dysautonomia,15,4,00:00:12,0,0.00%,13.33%,$0.00
part1.csv:/search/fine particulate matter,15,2,00:00:20,0,0.00%,0.00%,$0.00
part1.csv:/search/heterologous COVID-19 vaccination,15,2,00:00:20,0,0.00%,0.00%,$0.00
part1.csv:/search/mass spectrometry,15,1,00:00:01,0,0.00%,6.67%,$0.00
part1.csv:/search/moderna,15,4,00:00:25,1,0.00%,13.33%,$0.00
part1.csv:/search/Natural anti inflammatory bioactive molecules against SARS CoV2,15,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Outdoor,15,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Proscillaridin,15,4,00:00:38,1,0.00%,0.00%,$0.00
part1.csv:/search/Sterile immunity,15,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Thymoquinone,15,3,00:00:06,1,0.00%,0.00%,$0.00
part1.csv:/search/transcriptome,15,5,00:00:05,1,0.00%,6.67%,$0.00
part1.csv:/search/vaccine transmission,15,4,00:00:03,0,0.00%,6.67%,$0.00
part1.csv:/search/bermuda,14,3,00:00:52,0,0.00%,0.00%,$0.00
part1.csv:/search/Bioactive molecules against covid,14,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Breakthrough infections,14,3,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/bromhexine,14,3,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/C.37,14,3,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Covaxin,14,3,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Depression,14,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/long-covid,14,4,00:00:10,0,0.00%,14.29%,$0.00
part1.csv:/search/Obesity,14,3,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Patent,14,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/rehab,14,3,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Reoccurance,14,3,00:00:10,2,0.00%,14.29%,$0.00
part1.csv:/search/repurposing,14,3,00:02:58,2,0.00%,21.43%,$0.00
part1.csv:/search/sleep,14,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/spike protein,14,3,00:00:11,0,0.00%,7.14%,$0.00
part1.csv:/search/turkey,14,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/vitamin E,14,3,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/wearable monitor,14,3,00:00:11,1,0.00%,7.14%,$0.00
part1.csv:/search/Alberta,13,1,00:00:07,0,0.00%,7.69%,$0.00
part1.csv:/search/anaphylaxis,13,3,00:00:05,1,0.00%,7.69%,$0.00
part1.csv:/search/Antibody interpret,13,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Cfs,13,2,00:00:03,1,0.00%,15.38%,$0.00
part1.csv:/search/correlates of protection,13,3,00:00:04,0,0.00%,7.69%,$0.00
part1.csv:/search/deep learning,13,3,00:00:39,0,0.00%,0.00%,$0.00
part1.csv:/search/dementia,13,3,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Drugs used in covid 19 treatment,13,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/early treatment,13,2,00:00:05,0,0.00%,7.69%,$0.00
part1.csv:/search/Elgazzar,13,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/fluvastatin,13,2,00:03:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Immune response,13,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Immunogenicity natural inf,13,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Mortality,13,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Nice,13,1,00:00:03,0,0.00%,7.69%,$0.00
part1.csv:/search/Nursing,13,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/orbitrap,13,1,00:00:09,0,0.00%,7.69%,$0.00
part1.csv:/search/prophylaxis,13,4,00:00:05,1,0.00%,7.69%,$0.00
part1.csv:/search/proteomics,13,2,00:00:34,0,0.00%,7.69%,$0.00
part1.csv:/search/reinfection,13,5,00:02:35,1,0.00%,15.38%,$0.00
part1.csv:/search/remdesivir,13,4,00:00:07,0,0.00%,15.38%,$0.00
part1.csv:/search/RNAscope,13,3,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine side effects,13,3,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/vietnam,13,4,00:00:06,1,0.00%,7.69%,$0.00
part1.csv:/search/viral load dynamics,13,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/vitamin D,13,2,00:00:29,0,0.00%,7.69%,$0.00
part1.csv:/search/waiting,13,2,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/Artificial Intelligence,12,5,00:00:01,4,0.00%,41.67%,$0.00
part1.csv:/search/australia,12,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Daily case count,12,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/detection time,12,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/FURIN,12,2,00:00:25,0,0.00%,0.00%,$0.00
part1.csv:/search/IL6,12,2,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/lncRNA,12,4,00:00:20,2,0.00%,25.00%,$0.00
part1.csv:/search/lockdown,12,4,00:00:07,4,0.00%,16.67%,$0.00
part1.csv:/search/Long vaccine,12,2,00:00:01,0,0.00%,8.33%,$0.00
part1.csv:/search/Majumdar,12,2,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/migrants,12,2,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/Mitoxantrone,12,4,00:00:09,2,0.00%,8.33%,$0.00
part1.csv:/search/netherlands,12,4,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/origin,12,2,00:00:33,0,0.00%,8.33%,$0.00
part1.csv:/search/outcomes,12,2,00:00:58,0,0.00%,0.00%,$0.00
part1.csv:/search/Paediatric AND Long COVID,12,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/post covid,12,3,00:00:56,1,0.00%,8.33%,$0.00
part1.csv:/search/Post-acute sequelae,12,4,00:00:02,1,0.00%,8.33%,$0.00
part1.csv:/search/qatar sinopharm,12,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/RmYN02,12,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/screening,12,4,00:00:49,0,0.00%,0.00%,$0.00
part1.csv:/search/seroprevalence,12,2,00:00:22,0,0.00%,8.33%,$0.00
part1.csv:/search/Serotonin,12,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/SOTROVIMAB,12,3,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/surgical masks,12,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/testing,12,2,00:00:03,0,0.00%,8.33%,$0.00
part1.csv:/search/Testing,12,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Wastewater,12,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/aerosols,11,3,00:00:10,1,0.00%,18.18%,$0.00
part1.csv:/search/Albendazole,11,3,00:00:22,1,0.00%,0.00%,$0.00
part1.csv:/search/Cell-free nucleic acid,11,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/characterizing long covid,11,2,00:00:58,0,0.00%,0.00%,$0.00
part1.csv:/search/chronic fatigue syndrome,11,4,00:00:25,3,0.00%,27.27%,$0.00
part1.csv:/search/efficacy,11,4,00:00:16,1,0.00%,9.09%,$0.00
part1.csv:/search/heterologous,11,2,00:00:46,0,0.00%,0.00%,$0.00
part1.csv:/search/Host Factors,11,1,00:03:56,0,0.00%,9.09%,$0.00
part1.csv:/search/kinetics,11,1,00:00:11,0,0.00%,9.09%,$0.00
part1.csv:/search/lamda,11,1,00:02:43,0,0.00%,0.00%,$0.00
part1.csv:/search/likelihood,11,2,00:02:57,0,0.00%,18.18%,$0.00
part1.csv:/search/microbiome,11,3,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/MIMANSA,11,2,00:00:04,1,0.00%,9.09%,$0.00
part1.csv:/search/mineno,11,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Occurence,11,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/ORF7a protein,11,3,00:03:05,2,0.00%,27.27%,$0.00
part1.csv:/search/organs,11,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/peripheral venous thrombosis,11,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/peru vaccine,11,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Pimentel,11,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/proteolytic,11,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Rehabilitation is crucial,11,2,00:00:22,0,0.00%,0.00%,$0.00
part1.csv:/search/schools,11,2,00:00:34,0,0.00%,0.00%,$0.00
part1.csv:/search/Steroid resistant,11,2,<00:00:01,1,0.00%,18.18%,$0.00
part1.csv:/search/syncytia,11,1,00:00:08,0,0.00%,9.09%,$0.00
part1.csv:/search/vaccine mrna,11,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/waning immunity,11,2,00:02:27,1,0.00%,18.18%,$0.00
part1.csv:/search/Wastewater based,11,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/aspergillose,10,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Azd1222,10,2,00:00:05,1,0.00%,20.00%,$0.00
part1.csv:/search/Bioactive molecules against covid and anti inflammation,10,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Children,10,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/Colchicine,10,4,00:00:05,1,0.00%,10.00%,$0.00
part1.csv:/search/Dr. Simone Gold,10,2,00:00:10,1,0.00%,20.00%,$0.00
part1.csv:/search/effectiveness infection,10,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/forecast,10,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/heterologous COVID-19,10,2,00:01:40,0,0.00%,0.00%,$0.00
part1.csv:/search/hospitalised patients,10,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/kidney,10,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/meta-analysis,10,2,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Minor,10,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/molnupiravir,10,3,00:00:06,1,0.00%,10.00%,$0.00
part1.csv:/search/nsp11,10,4,00:00:00,3,0.00%,40.00%,$0.00
part1.csv:/search/PACS,10,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/quercetin,10,3,00:00:07,0,0.00%,10.00%,$0.00
part1.csv:/search/rapid antigen test,10,4,00:00:05,1,0.00%,0.00%,$0.00
part1.csv:/search/Rohrer,10,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/school,10,3,00:00:18,0,0.00%,0.00%,$0.00
part1.csv:/search/SLPI,10,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Statine,10,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Treatment Other than medicines,10,1,00:00:02,0,0.00%,0.00%,$0.00
